[2026-08-01 22:17:34,059] 15 root - INFO - Initiate the data ingestion
[2026-08-01 22:17:52,498] 68 root - INFO - Performace train test split on the dataframe
[2026-08-01 22:17:52,498] 70 root - INFO - Exicted split_data_as_train_test method of Data_ingestion class
[2026-08-01 22:17:52,498] 79 root - INFO - Exporting train and test file path
[2026-08-01 22:17:52,619] 89 root - INFO - Exported train and test filr path
[2026-08-01 22:17:52,619] 17 root - INFO - Data Initiation Completed
[2026-08-01 22:17:52,650] 21 root - INFO - Initiate the data validation
[2026-08-01 22:17:52,782] 34 root - INFO - Required number of column:31
[2026-08-01 22:17:52,782] 35 root - INFO - Data frame as columns:31
[2026-08-01 22:17:52,782] 34 root - INFO - Required number of column:31
[2026-08-01 22:17:52,782] 35 root - INFO - Data frame as columns:31
[2026-08-01 22:17:53,139] 23 root - INFO - data validation completed
